key,Name,ClassJob,Level,Description
367,Life of the Dragon,dragoon,70,"Allows for the strengthening of the gaze of the first brood upon using Mirage Dive while under the effect of Blood of the Dragon. When the gaze is its strongest (4 units), Geirskogul will grant you the Life of the Dragon status in place of Blood of the Dragon. While under the effect of Life of the Dragon, Geirskogul will change to Nastrond. Life of the Dragon will revert to Blood of the Dragon when duration expires."
368,Dripping Blades,rogue,6,Increases damage dealt via actions by 5%.
369,Shukiho,ninja,62,Increases Ninki Gauge by 6 with each auto-attack landed.
370,Enhanced Shukuchi,ninja,64,"Resets the recast timer for Shukuchi upon executing Katon, Raiton, or Hyoton on most targets."
371,Enhanced Mug,ninja,66,Increases Ninki Gauge by 30 upon successfully landing Mug.
372,Bite Mastery,bard,64,Venom Bite and Windbite are upgraded to Caustic Bite and Stormbite respectively.
373,Enhanced Empyreal Arrow,bard,68,"Guarantees the trigger of the additional effects for Mage's Ballad, Army's Paeon, and the Wanderer's Minuet when these actions are executed while under the effect of Empyreal Arrow."
374,Shot Mastery,machinist,64,"Split Shot, Slug Shot, and Clean Shot become Heated when your Heat Gauge is at 50 or higher."
375,Thunder Mastery,black mage,45,Upgrades Thunder to Thunder III.
376,Thunder Mastery II,black mage,64,Upgrades Thunder II to Thunder IV.
377,Enhanced Umbral Heart,black mage,68,Reduces MP required to cast Flare by one-third while under the effect of Umbral Heart. Casting Flare completely removes the Umbral Heart status.
378,Enhanced Enochian,black mage,70,Grants the effect of Polyglot upon maintaining Enochian for 30 seconds.
379,Corruption Mastery,arcanist,26,Upgrades Bio to Bio II.
380,Ruin Mastery,summoner,62,Grants a 15% chance that Ruin and Ruin III are upgraded to Ruin IV after a pet uses an action.
381,Corruption Mastery II,summoner,66,Upgrades Bio II to Bio III and Miasma to Miasma III.
382,Enhanced Dreadwyrm Trance,summoner,70,Grants Dreadwyrm Aether upon the end of the Dreadwyrm Trance.
383,Stone Mastery,conjurer,18,Upgrades Stone to Stone II.
384,Aero Mastery,conjurer,46,Upgrades Aero to Aero II.
385,Stone Mastery II,white mage,54,Upgrades Stone II to Stone III.
386,Stone Mastery III,white mage,64,Upgrades Stone III to Stone IV.
387,Secret of the Lily II,white mage,68,Grants a 20% chance that Asylum or Assize recast time is reduced by 5 seconds upon healing critical HP with Cure or Cure II.
388,Broil Mastery II,scholar,64,Upgrades Broil to Broil II.
389,Quickened Aetherflow,scholar,68,Grants a 20% chance that Aetherflow recast time is reduced by 10 seconds upon execution of an action that requires Aetherflow.
390,Combust Mastery,astrologian,46,Upgrades Combust to Combust II.
391,Malefic Mastery,astrologian,54,Upgrades Malefic to Malefic II.
392,Malefic Mastery II,astrologian,64,Upgrades Malefic II to Malefic III.
393,Hyper Lightspeed,astrologian,68,Reduces Lightspeed recast time by 5 seconds upon restoring critical HP with Benefic or Benefic II.
394,Endless Toil of the Mountaineer,miner,65,Automatically renders all out-of-reach items reachable. Only available on mineral deposits or rocky outcrops level 60 and below.
395,Endless Toil of the Pioneer,botanist,65,Automatically renders all out-of-reach items reachable. Only available on mature trees or patches of lush vegetation level 60 and below.
396,Enhanced GP Regeneration,miner,70,Increases the amount of GP regenerated over time.
397,Enhanced GP Regeneration,botanist,70,Increases the amount of GP regenerated over time.
398,Enhanced GP Regeneration,fisher,70,Increases the amount of GP regenerated over time.
399,Enhanced Jolt,red mage,62,Upgrades Jolt to Jolt II.
400,Secret of the Lily,white mage,52,"Grants a 50% or 100% chance that a Lily is added to your Healing Gauge upon the execution of Cure or Cure II on self or a party member while in combat. Lilies will lower the recast time for Asylum, Assize, Divine Benison, or Tetragrammaton by a percentage corresponding to the number of Lilies stacked at time of action execution (at which time the Lilies are removed).<br>1 Lily: 4%<br>2 Lilies: 10%<br>3 Lilies: 20%"
401,Enhanced Intelligence,red mage,20,Increases intelligence by 8.
402,Enhanced Intelligence II,red mage,40,Increases intelligence by 16.
403,Enhanced Intelligence III,red mage,60,Increases intelligence by 24.
404,Maim and Mend,red mage,20,Increases base action damage and HP restoration by 10%.
405,Maim and Mend II,red mage,40,Increases base action damage and HP restoration by 30%.
406,Enhanced Strength,samurai,20,Increases strength by 8.
407,Enhanced Strength II,samurai,40,Increases strength by 16.
408,Enhanced Strength III,samurai,60,Increases strength by 24.
409,Dripping Blades II,rogue,36,Increases damage dealt via actions by 20%.
410,Enhanced Jolt II,red mage,66,Grants the effect of Impactful upon landing of Jolt II.
411,Divine Magic Mastery,paladin,64,Halves MP cost for all spells while preventing casting interruptions via damage taken.
412,Kenki Mastery II,samurai,62,Increases Kenki Gauge when landing all weaponskills excluding Iaijutsu.
413,Oath Mastery,paladin,52,"Increases Oath Gauge by 5 each time an auto attack lands while under the effect of Sword Oath, or an attack is blocked while under the effect of Shield Oath. Oath Gauge is halved when switching between the two Oaths."
414,Enhanced Mind,scholar,20,Increases mind by 8.
415,Enhanced Mind II,scholar,40,Increases mind by 16.
416,Enhanced Mind III,scholar,60,Increases mind by 24.
417,Enhanced Enkindle,summoner,68,Reduces Enkindle recast time by 10 seconds when Ruin Mastery upgrades Ruin or Ruin III to Ruin IV.
418,Broil Mastery,scholar,54,Changes Ruin to Broil.
419,Kenki Mastery,samurai,52,Increases Kenki Gauge when landing select weaponskills.
420,Dualcast,red mage,1,"Grants the effect of Dualcast upon casting any spell with a cast time. While under the effect of Dualcast, your next spell will require no time to cast. Effect is canceled upon auto-attack or execution of any action other than a spell."
