ID,Name,Category,Cooldown,Description
186,Succor,Spell,25,Restores own HP and the HP of all nearby party members.<br><Color(52258)>Cure Potency:</Color> 150<br><Color(52258)>Additional Effect:</Color> Erects a magicked barrier which nullifies damage equaling the amount of HP restored<br><Color(52258)>Duration:</Color> 30s<br>Effect cannot be stacked with <Color(-154)>Nocturnal Sect</Color>.
187,Leeches,Spell,25,Removes a single detrimental effect from target.
188,Sacred Soil,Ability,300,"Creates a designated area in which party members will only suffer 90% of all damage inflicted.<br><Color(52258)>Duration:</Color> 15s<br><Color(52258)>Additional Effect:</Color> 20% chance that next <Color(-34022)>Succor</Color> will cost no MP<br><Color(52258)>Duration:</Color> 15s<br><If(GreaterThanOrEqualTo(PlayerParameter(72),70))><If(Equal(PlayerParameter(68),28))><Color(52258)>Additional Effect:</Color> Increases <Color(-34022)>Faerie Gauge</Color> by 10<br><Else/></If><Else/></If><Color(52258)>Aetherflow Gauge Cost:</Color> 1<br>Cannot be used with any other area-creating actions."
189,Lustrate,Ability,10,"Restores target's HP.<br><Color(52258)>Cure Potency:</Color> 600<br><If(GreaterThanOrEqualTo(PlayerParameter(72),70))><If(Equal(PlayerParameter(68),28))><Color(52258)>Additional Effect:</Color> Increases <Color(-34022)>Faerie Gauge</Color> by 10<br><Else/></If><Else/></If><Color(52258)>Aetherflow Gauge Cost:</Color> 1"
190,Physick,Spell,25,Restores target's HP.<br><Color(52258)>Cure Potency:</Color> 400
191,Stoneskin II,Spell,25,Creates a barrier around self and all party members near you that absorbs damage totaling 10% of maximum HP. Cannot be cast while in combat. Has no effect on targets in combat.<br><Color(52258)>Duration:</Color> 30m
197,Shield Wall,Limit Break,0,Reduces damage taken by all party members by 20%.<br><Color(52258)>Duration:</Color> 10s
198,Mighty Guard,Limit Break,0,Reduces damage taken by all party members by 40%.<br><Color(52258)>Duration:</Color> 15s
199,Last Bastion,Limit Break,0,Reduces damage taken by all party members by 80%.<br><Color(52258)>Duration:</Color> 12s
200,Braver,Limit Break,0,"Delivers an attack with a potency of 2,400."
201,Bladedance,Limit Break,0,"Delivers an attack with a potency of 5,250."
202,Final Heaven,Limit Break,0,"Delivers an attack with a potency of 9,000."
203,Skyshard,Limit Break,0,"Deals unaspected damage with a potency of 1,650 to all enemies near point of impact."
204,Starstorm,Limit Break,0,"Deals unaspected damage with a potency of 3,600 to all enemies near point of impact."
205,Meteor,Limit Break,0,"Deals unaspected damage with a potency of 6,150 to all enemies near point of impact."
206,Healing Wind,Limit Break,0,Restores 25% of own HP and the HP of all nearby party members.
207,Breath of the Earth,Limit Break,0,Restores 60% of own HP and the HP of all nearby party members.
208,Pulse of Life,Limit Break,0,"Restores 100% of own HP and the HP of all nearby party members, including ones KO'd."
210,Triangulate,Ability,0,"Survey the landscape to locate mature trees and lush vegetation.<If(Equal(PlayerParameter(68),17))><If(GreaterThanOrEqualTo(PlayerParameter(69),2))> Activates automatically when class is changed to botanist.<Else/></If><Else/></If>"
211,Arbor Call,Ability,200,Survey the landscape to locate the nearest mature tree or lush vegetation within skill range. Can only execute while <Color(-154)>Triangulate</Color> is active.<br><Color(52258)>Duration:</Color> 15s
212,Stealth,Ability,0,"Conceal yourself and tread quietly, reducing movement speed, but enabling you to avoid enemies level <If(Equal(PlayerParameter(68),17))><If(GreaterThanOrEqualTo(PlayerParameter(69),66))>70<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),63))>67<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),60))>64<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),56))>60<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),53))>57<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),50))>54<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),38))>50<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),28))>40<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),18))>30<Else/>20</If></If></If></If></If></If></If></If></If><Else/>20</If> and below."
213,Preparation,DoL Ability,0,Reveals the conditions for obtaining HQ items while gathering.
214,Toil of the Pioneer,DoL Ability,0,Renders all out-of-reach items reachable.
215,Ageless Words,DoL Ability,0,Grants another gathering attempt.
216,Brunt Force,DoL Ability,0,Increases the chance of obtaining regular or HQ items to 100%. Does not apply to items at 0%. Can only be activated after chain #4.
217,Nophica's Ward,DoL Ability,0,"Increases earth shard<If(GreaterThanOrEqualTo(PlayerParameter(68),16))><If(GreaterThanOrEqualTo(PlayerParameter(69),50))>, crystal, and cluster yields<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),41))> and crystal yields<Else/> yield</If></If><Else/></If> by two."
218,Field Mastery,DoL Ability,0,Increases the chance of obtaining items while gathering by 5%. Does not apply to items at 0%.
219,Byregot's Ward,DoL Ability,0,"Increases lightning shard<If(GreaterThanOrEqualTo(PlayerParameter(68),16))><If(GreaterThanOrEqualTo(PlayerParameter(69),50))>, crystal, and cluster yields<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),41))> and crystal yields<Else/> yield</If></If><Else/></If> by two."
220,Field Mastery II,DoL Ability,0,Increases the chance of obtaining items while gathering by 15%. Does not apply to items at 0%.
221,Truth of Forests,Ability,0,Further survey the landscape to uncover unspoiled mature trees and lush vegetation.
222,Blessed Harvest,DoL Ability,0,Increases the number of items obtained when gathering by one.
224,Blessed Harvest II,DoL Ability,0,Increases the number of items obtained when gathering by two.
225,Leaf Turn,DoL Ability,0,Increases the chance of obtaining HQ items while gathering by 10%. Does not increase chances for items which start at 0%.
226,Leaf Turn II,DoL Ability,0,Increases the chance of obtaining HQ items while gathering by 30%. Does not increase chances for items which start at 0%.
227,Prospect,Ability,0,"Survey the landscape to locate mineral deposits and rocky outcrops.<If(Equal(PlayerParameter(68),16))><If(GreaterThanOrEqualTo(PlayerParameter(69),2))> Activates automatically when class is changed to miner.<Else/></If><Else/></If>"
228,Lay of the Land,Ability,200,Survey the landscape to locate the nearest mineral deposit or rocky outcrop within skill range. Can only execute while <Color(-154)>Prospect</Color> is active.<br><Color(52258)>Duration:</Color> 15s
229,Stealth,Ability,0,"Conceal yourself and tread quietly, reducing movement speed, but enabling you to avoid enemies level <If(Equal(PlayerParameter(68),16))><If(GreaterThanOrEqualTo(PlayerParameter(69),66))>70<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),63))>67<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),60))>64<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),56))>60<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),53))>57<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),50))>54<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),38))>50<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),28))>40<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),18))>30<Else/>20</If></If></If></If></If></If></If></If></If><Else/>20</If> and below."
230,Preparation,DoL Ability,0,Reveals the conditions for obtaining HQ items while gathering.
231,Toil of the Mountaineer,DoL Ability,0,Renders all out-of-reach items reachable.
232,Solid Reason,DoL Ability,0,Grants another gathering attempt.
233,Deep Vigor,DoL Ability,0,Increases the chance of obtaining regular or HQ items to 100%. Does not apply to items at 0%. Can only be activated after chain #4.
234,Nald'thal's Ward,DoL Ability,0,"Increases fire shard<If(GreaterThanOrEqualTo(PlayerParameter(68),16))><If(GreaterThanOrEqualTo(PlayerParameter(69),50))>, crystal, and cluster yields<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),41))> and crystal yields<Else/> yield</If></If><Else/></If> by two."
235,Sharp Vision,DoL Ability,0,Increases the chance of obtaining items while gathering by 5%. Does not apply to items at 0%.
236,Menphina's Ward,DoL Ability,0,"Increases ice shard<If(GreaterThanOrEqualTo(PlayerParameter(68),16))><If(GreaterThanOrEqualTo(PlayerParameter(69),50))>, crystal, and cluster yields<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),41))> and crystal yields<Else/> yield</If></If><Else/></If> by two."
237,Sharp Vision II,DoL Ability,0,Increases the chance of obtaining items while gathering by 15%. Does not apply to items at 0%.
238,Truth of Mountains,Ability,0,Further survey the landscape to uncover unspoiled mineral deposits and rocky outcrops.
239,King's Yield,DoL Ability,0,Increases the number of items obtained when gathering by one.
241,King's Yield II,DoL Ability,0,Increases the number of items obtained when gathering by two.
242,Unearth,DoL Ability,0,Increases the chance of obtaining HQ items while gathering by 10%. Does not increase chances for items which start at 0%.
243,Unearth II,DoL Ability,0,Increases the chance of obtaining HQ items while gathering by 30%. Does not increase chances for items which start at 0%.
244,Steady Hand,DoH Ability,0,Improves action success rate by 20% for the next five steps.
245,Steady Hand,DoH Ability,0,Improves action success rate by 20% for the next five steps.
246,Steady Hand,DoH Ability,0,Improves action success rate by 20% for the next five steps.
247,Steady Hand,DoH Ability,0,Improves action success rate by 20% for the next five steps.
248,Steady Hand,DoH Ability,0,Improves action success rate by 20% for the next five steps.
249,Steady Hand,DoH Ability,0,Improves action success rate by 20% for the next five steps.
250,Steady Hand,DoH Ability,0,Improves action success rate by 20% for the next five steps.
251,Steady Hand,DoH Ability,0,Improves action success rate by 20% for the next five steps.
252,Inner Quiet,DoH Ability,0,Grants a bonus to control with every increase in quality.<br>Bonus stacks up to 11 times.
253,Inner Quiet,DoH Ability,0,Grants a bonus to control with every increase in quality.<br>Bonus stacks up to 11 times.
254,Inner Quiet,DoH Ability,0,Grants a bonus to control with every increase in quality.<br>Bonus stacks up to 11 times.
255,Inner Quiet,DoH Ability,0,Grants a bonus to control with every increase in quality.<br>Bonus stacks up to 11 times.
256,Inner Quiet,DoH Ability,0,Grants a bonus to control with every increase in quality.<br>Bonus stacks up to 11 times.
257,Inner Quiet,DoH Ability,0,Grants a bonus to control with every increase in quality.<br>Bonus stacks up to 11 times.
258,Inner Quiet,DoH Ability,0,Grants a bonus to control with every increase in quality.<br>Bonus stacks up to 11 times.
259,Inner Quiet,DoH Ability,0,Grants a bonus to control with every increase in quality.<br>Bonus stacks up to 11 times.
260,Great Strides,DoH Ability,0,Doubles efficiency of next <Color(-34022)>Touch</Color> action. Effect active for three steps.
261,Great Strides,DoH Ability,0,Doubles efficiency of next <Color(-34022)>Touch</Color> action. Effect active for three steps.
262,Great Strides,DoH Ability,0,Doubles efficiency of next <Color(-34022)>Touch</Color> action. Effect active for three steps.
263,Great Strides,DoH Ability,0,Doubles efficiency of next <Color(-34022)>Touch</Color> action. Effect active for three steps.
264,Great Strides,DoH Ability,0,Doubles efficiency of next <Color(-34022)>Touch</Color> action. Effect active for three steps.
265,Great Strides,DoH Ability,0,Doubles efficiency of next <Color(-34022)>Touch</Color> action. Effect active for three steps.
266,Great Strides,DoH Ability,0,Doubles efficiency of next <Color(-34022)>Touch</Color> action. Effect active for three steps.
267,Great Strides,DoH Ability,0,Doubles efficiency of next <Color(-34022)>Touch</Color> action. Effect active for three steps.
268,Mooch II,DoL Ability,1800,Use any fish already hooked to your line to attract even larger prey.<br><Color(52258)>Duration:</Color> 15s
269,Double Hook,DoL Ability,0,Hook multiple fish in a single cast. Yield is determined by fish type and your <Color(-154)>gathering</Color> rating. Some fish cannot be double hooked.
270,Unearth III,DoL Ability,0,Increases the chance of obtaining HQ items while gathering by 30% - 100%. Increase is determined by your <Color(-154)>perception</Color> rating. Does not increase chances for items which start at 0%.<br><br>Cannot be used with <Color(-34022)>Unearth</Color> or <Color(-34022)>Unearth II</Color>.
271,Leaf Turn III,DoL Ability,0,Increases the chance of obtaining HQ items while gathering by 30% - 100%. Increase is determined by your <Color(-154)>perception</Color> rating. Does not increase chances for items which start at 0%.<br><br>Cannot be used with <Color(-34022)>Leaf Turn</Color> or <Color(-34022)>Leaf Turn II</Color>.
272,Bountiful Yield II,DoL Ability,0,"Increases the number of items obtained on your next gathering attempt by one, two, or three. Number determined by your <Color(-154)>gathering</Color> rating.<br><br>Cannot be used with <Color(-34022)>Bountiful Yield</Color>."
273,Bountiful Harvest II,DoL Ability,0,"Increases the number of items obtained on your next gathering attempt by one, two, or three. Number determined by your <Color(-154)>gathering</Color> rating.<br><br>Cannot be used with <Color(-34022)>Bountiful Harvest</Color>."
274,Nald'thal's Counsel,DoL Ability,0,Increases the chance of obtaining an HQ item on your next gathering attempt. Increase is random and is only overwritten if the value is higher than the current one. Does not increase chances for items which start at 0%.<br><br>Cannot be used with any action that increases chance of obtaining an HQ item.
275,Nophica's Counsel,DoL Ability,0,Increases the chance of obtaining an HQ item on your next gathering attempt. Increase is random and is only overwritten if the value is higher than the current one. Does not increase chances for items which start at 0%.<br><br>Cannot be used with any action that increases chance of obtaining an HQ item.
276,Rumination,DoH Ability,0,Removes <Color(-154)>Inner Quiet</Color> effect and restores CP proportional to the number of times control was increased.
277,Ingenuity,DoH Ability,0,Slightly lowers recipe level for the next five steps.
278,Manipulation,DoH Ability,0,Restores 10 points of durability after each step for the next three steps. Each step overwrites all other durability-restoring actions.
279,Waste Not,DoH Ability,0,Reduces loss of durability by 50% for the next four steps.
281,Steady Hand II,DoH Ability,0,Improves action success rate by 30% for the next five steps.
283,Ingenuity II,DoH Ability,0,Lowers recipe level for the next five steps.
284,Innovation,DoH Ability,0,Increases <Color(-154)>control</Color> by 50% for the next three steps.
285,Waste Not II,DoH Ability,0,Reduces loss of durability by 50% for the next eight steps.
286,Comfort Zone,DoH Ability,0,Restores 8 CP after each step for the next ten steps.
287,Reclaim,DoH Ability,0,Increases the chance materials will not be lost after botched synthesis to 90%.
288,Bait,DoL Ability,0,Select the bait to apply to your line.
289,Cast,DoL Ability,0,Cast your line and begin fishing.
290,Arbor Call II,Ability,200,Survey the landscape to locate the highest-level mature tree or lush vegetation within skill range. Can only execute while <Color(-154)>Triangulate</Color> is active.<br><Color(52258)>Duration:</Color> 15s
291,Lay of the Land II,Ability,200,Survey the landscape to locate the highest-level mineral deposit or rocky outcrop within skill range. Can only execute while <Color(-154)>Prospect</Color> is active.<br><Color(52258)>Duration:</Color> 15s
292,Llymlaen's Ward,DoL Ability,0,"Increases wind shard<If(GreaterThanOrEqualTo(PlayerParameter(68),16))><If(GreaterThanOrEqualTo(PlayerParameter(69),50))>, crystal, and cluster yields<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),41))> and crystal yields<Else/> yield</If></If><Else/></If> by two."
293,Thaliak's Ward,DoL Ability,0,"Increases water shard<If(GreaterThanOrEqualTo(PlayerParameter(68),16))><If(GreaterThanOrEqualTo(PlayerParameter(69),50))>, crystal, and cluster yields<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),41))> and crystal yields<Else/> yield</If></If><Else/></If> by two."
294,Field Mastery III,DoL Ability,0,Increases the chance of obtaining items while gathering by 50%. Does not apply to items at 0%.
295,Sharp Vision III,DoL Ability,0,Increases the chance of obtaining items while gathering by 50%. Does not apply to items at 0%.
296,Hook,DoL Ability,0,Attempt to hook the fish nibbling on the bait.
297,Mooch,DoL Ability,0,Use the fish already hooked to your line to attract even larger prey.
298,Stealth,Ability,0,"Conceal yourself and tread quietly, reducing movement speed, but enabling you to avoid enemies level <If(Equal(PlayerParameter(68),18))><If(GreaterThanOrEqualTo(PlayerParameter(69),66))>70<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),63))>67<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),60))>64<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),56))>60<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),53))>57<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),50))>54<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),38))>50<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),28))>40<Else/><If(GreaterThanOrEqualTo(PlayerParameter(69),18))>30<Else/>20</If></If></If></If></If></If></If></If></If><Else/>20</If> and below."
299,Quit,DoL Ability,0,"<If(Equal(PlayerParameter(68),18))><If(GreaterThanOrEqualTo(PlayerParameter(69),61))>Abandon fishing and stow your tackle.<Else/>Abandon fishing and stow your rod.</If><Else/></If>"
300,Release,DoL Ability,0,Unhook a fish (including all those of the same type subsequently caught at your current location) and release it back into the wild.
301,Impulsive Appraisal II,DoL Ability,0,Appraise a gathering node for collectables.<br><br>Increases item rarity by <Color(-154)>perception</Color> x0.9.<br>Increases item wear by 10.<br><br><Color(52258)>Additional Effect:</Color> 30% - 100% chance Discerning Eye activates<br>Percentage determined by your <Color(-154)>perception</Color> rating.<br>Uses one gathering attempt.
302,Impulsive Appraisal II,DoL Ability,0,Appraise a gathering node for collectables.<br><br>Increases item rarity by <Color(-154)>perception</Color> x0.9.<br>Increases item wear by 10.<br><br><Color(52258)>Additional Effect:</Color> 30% - 100% chance <Color(-154)>Discerning Eye</Color> activates<br>Percentage determined by your <Color(-154)>perception</Color> rating.<br>Uses one gathering attempt.
633,Gouge,Spell,30,Deals earth damage with a potency of 70.<br><Color(52258)>Additional Effect:<Color(52258)> Increased enmity<br>
634,Shining Topaz,Spell,150,"Deals earth damage with a potency of 60 to all nearby enemies.<br><Color(52258)>Additional Effect:<Color(52258)> Increased enmity<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
635,Curl,Ability,1200,"Decreases damage suffered by pet by 20%.<br><Color(52258)>Duration:<Color(52258)> 20s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
636,Storm,Spell,400,"Deals earth damage with a potency of 60.<br><Color(52258)>Additional Effect:<Color(52258)> <Color(-154)>Stun</Color><br><Color(52258)>Duration:<Color(52258)> 2s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
637,Gust,Spell,30,Deals wind damage with a potency of 90.
638,Backdraft,Ability,900,"Deals wind damage with a potency of 80.<br><Color(52258)>Additional Effect:<Color(52258)> 15-yalm knockback<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
639,Downburst,Spell,300,"Deals wind damage with a potency of 80 to target and all enemies nearby it.<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
640,Shining Emerald,Ability,600,"Increases target's magic damage taken by 10%.<br><Color(52258)>Duration:</Color> 15s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
787,Rock Buster,Spell,30,Deals earth damage with a potency of 85.<br><Color(52258)>Additional Effect:<Color(52258)> Increased enmity
788,Mountain Buster,Spell,150,"Deals earth damage with a potency of 70 to all nearby enemies.<br><Color(52258)>Additional Effect:<Color(52258)> Increased enmity<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
789,Earthen Ward,Ability,1200,"Decreases damage suffered by pet by 20%.<br><Color(52258)>Duration:<Color(52258)> 20s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
790,Landslide,Spell,400,"Deals earth damage with a potency of 70.<br><Color(52258)>Additional Effect:<Color(52258)> Stun<br><Color(52258)>Duration:<Color(52258)> 2s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
791,Earthen Fury,Ability,0,Deals earth damage with a potency of 200 to all nearby targets.<br><Color(52258)>Additional Effect:</Color> Razed Earth<br><Color(52258)>Potency:</Color> 20 <Color(52258)><br>Duration:</Color> 15s<br>Executed when master uses <Color(-34022)>Enkindle</Color>.
792,Wind Blade,Spell,30,Deals wind damage with a potency of 110.
793,Shockwave,Ability,900,"Deals wind damage with a potency of 90.<br><Color(52258)>Additional Effect:<Color(52258)> 15-yalm knockback<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
794,Aerial Slash,Spell,300,"Deals wind damage with a potency of 90 to target and all enemies nearby it.<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
795,Contagion,Ability,600,"Increases target's magic damage taken by 10%.<br><Color(52258)>Duration:</Color> 15s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
796,Aerial Blast,Ability,0,Deals wind damage with a potency of 250 to target and all enemies nearby it.<br>Executed when master uses <Color(-34022)>Enkindle</Color>.
797,Crimson Cyclone,Spell,400,"Deals fire damage with a potency of 110.<br><Color(52258)>Additional Effect:<Color(52258)> Stun<br><Color(52258)>Duration:<Color(52258)> 2s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
798,Burning Strike,Spell,30,Deals fire damage with a potency of 135.
799,Radiant Shield,Ability,600,"Delivers an attack with a potency of 50 every time damage is suffered.<br><Color(52258)>Duration:</Color> 20s<br><Color(52258)>Additional Effect:</Color> Increases target's physical damage taken by 2%<br><Color(52258)>Duration:</Color> 4s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
800,Flaming Crush,Spell,300,"Deals fire damage with a potency of 110 to all nearby enemies.<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
801,Inferno,Ability,0,Deals fire damage with a potency of 200 to all enemies in a cone before it.<br><Color(52258)>Additional Effect:<Color(52258)> Fire damage over time<br><Color(52258)>Potency:<Color(52258)> 20<br><Color(52258)>Duration:<Color(52258)> 15s<br>Executed when master uses <Color(-34022)>Enkindle</Color>.
802,Embrace,Spell,30,Restores target's HP.<br><Color(52258)>Cure Potency:</Color> 250
803,Whispering Dawn,Spell,600,"Gradually restores own HP and the HP of all nearby party members.<br><Color(52258)>Cure Potency:</Color> 100<br><Color(52258)>Duration:</Color> 21s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
804,Fey Covenant,Ability,1200,"Increases magic defense of self and nearby party members by 20%.<br><Color(52258)>Duration:</Color> 20s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
805,Fey Illumination,Ability,1200,"Increases healing magic potency of self and nearby party members by 10%.<br><Color(52258)>Duration:</Color> 20s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
806,Embrace,Spell,30,Restores target's HP.<br><Color(52258)>Cure Potency:</Color> 250
807,Silent Dusk,Ability,400,"Silences target.<br><Color(52258)>Duration:</Color> 1s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
808,Fey Glow,Ability,600,"Increases spell speed of self and nearby party members by 30%.<br><Color(52258)>Duration:</Color> 30s<br>Cannot use while <Color(-154)>Fey Light</Color> is active.<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
809,Fey Light,Ability,600,"Increases skill speed of self and nearby party members by 30%.<br><Color(52258)>Duration:</Color> 30s<br>Cannot use while <Color(-154)>Fey Glow</Color> is active.<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
810,Fey Caress,Ability,600,"Removes a single detrimental effect from all nearby party members.<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
811,Fey Wind,Ability,600,"Reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay of self and nearby party members by 3%.<br><Color(52258)>Duration:</Color> 30s<br>When <Color(-154)>Obey</Color> is active, will only execute upon command."
817,Choco Strike,Weaponskill,0,Orders chocobo to deliver an attack with a potency of 150 to all enemies in a cone before it.<br><Color(52258)>Additional Effect:</Color> Increased enmity
818,Choco Guard,Ability,0,Reduces damage taken by chocobo by 15%.<br><Color(52258)>Duration:</Color> 15s
819,Choco Kick,Weaponskill,0,Orders chocobo to deliver an attack with a potency of 130.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Slow</Color> +20%<br><Color(52258)>Duration:</Color> 12s
820,Choco Drop,Weaponskill,0,Orders chocobo to deliver an attack with a potency of 150.<br><Color(52258)>Additional Effect:</Color> Increased enmity
821,Choco Blast,Weaponskill,0,Orders chocobo to deliver an attack with a potency of 170 to all enemies in a cone before it.
822,Choco Rush,Weaponskill,0,Orders chocobo to deliver an attack with a potency of 130.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Stun</Color><br><Color(52258)>Duration:</Color> 5s
823,Choco Beak,Weaponskill,0,Orders chocobo to deliver an attack with a potency of 130.<br><Color(52258)>Additional Effect:</Color> Damage over time<br><Color(52258)>Potency:</Color> 20<br><Color(52258)>Duration:</Color> 18s
824,Choco Slash,Weaponskill,0,Orders chocobo to deliver an attack with a potency of 150.
825,Choco Medica,Spell,0,Orders chocobo to restore its own HP and the HP of all nearby party members.<br><Color(52258)>Cure Potency:</Color> 150
826,Choco Surge,Spell,0,Increases chocobo's healing magic potency by 30%.<br><Color(52258)>Duration:</Color> 30s
827,Choco Cure,Spell,0,Orders chocobo to restore target's HP.<br><Color(52258)>Cure Potency:</Color> 300
828,Choco Regen,Spell,0,Orders chocobo to grant healing over time effect to target.<br><Color(52258)>Cure Potency:</Color> 25<br><Color(52258)>Duration:</Color> 18s
858,Phlebotomize,Weaponskill,25,Delivers an attack with a potency of 170.<br><Color(52258)>Additional Effect:</Color> Damage over time<br><Color(52258)>Duration:</Color> 18s
1128,Magitek Cannon,Weaponskill,15,Fires an explosive projectile at the designated area.
1129,Photon Stream,Weaponskill,0,Fires a short-range burst of energy in a straight line before you.
1134,Cannonfire,Artillery,0,Fires an explosive projectile at the designated area.
1437,Cannonfire,Artillery,0,Fires an explosive projectile at the designated area.
1438,Photon Stream,Weaponskill,0,Fires a short-range burst of energy in a straight line before you.
1439,Magitek Cannon,Weaponskill,0,Fires an explosive projectile at the designated area.
1558,Testudo,Ability,1800,Reduces damage taken by self and nearby party members by 15%.<br><Color(52258)>Duration:</Color> 15s<br><br><Color(52258)>Enhanced Testudo:</Color> Shortens recast time to 150 seconds.<br><Color(52258)>Enhanced Testudo II:</Color> Extends duration to 20 seconds.<br><Color(52258)>Enhanced Testudo III:</Color> Increases damage reduction to 25%.
1559,Glory Slash,Ability,1500,Delivers an attack with a potency of 170 to all enemies in a cone before you.<br><Color(52258)>Additional Effect:</Color> Removes one beneficial status from target<br><Color(52258)>Additional Effect:</Color> 10-yalm knockback<br><br><Color(52258)>Enhanced Glory Slash:</Color> Shortens recast time to 120 seconds.<br><Color(52258)>Enhanced Glory Slash II:</Color> Increases potency to 200.<br><Color(52258)>Enhanced Glory Slash III:</Color> Increases knockback to 15 yalms.
1560,Mythril Tempest,Ability,1800,Delivers an attack with a potency of 170 to all nearby enemies.<br><Color(52258)>Additional Effect:</Color> 10-yalm knockback and <Color(-154)>Stun</Color><br><Color(52258)>Duration:</Color> 2s<br><br><Color(52258)>Enhanced Mythril Tempest:</Color> Shortens recast time to 150 seconds.<br><Color(52258)>Enhanced Mythril Tempest II:</Color> Increases potency to 200.<br><Color(52258)>Enhanced Mythril Tempest III:</Color> Increases duration to 3 seconds.
1561,Thrill of War,Ability,1800,Increases maximum HP of self and nearby party members by 10% and restores HP by 10%.<br><Color(52258)>Duration:</Color> 15s<br><br><Color(52258)>Enhanced Thrill of War:</Color> Shortens recast time to 150 seconds.<br><Color(52258)>Enhanced Thrill of War II:</Color> Extends duration to 20 seconds.<br><Color(52258)>Enhanced Thrill of War III:</Color> Increases HP increase and restoration to 20%.
1562,Full Swing,Ability,1800,Delivers an attack with a potency of 150.<br><Color(52258)>Additional Effect:</Color> Damage over time<br><Color(52258)>Potency:</Color> 30<br><Color(52258)>Duration:</Color> 15s<br><Color(52258)>Additional Effect:</Color> Increases target's damage taken by 10%<br><Color(52258)>Duration:</Color> 15s<br><br><Color(52258)>Enhanced Full Swing:</Color> Shortens recast time to 150 seconds.<br><Color(52258)>Enhanced Full Swing II:</Color> Increases durations to 20 seconds.<br><Color(52258)>Enhanced Full Swing III:</Color> Increases target's damage taken by 20%.
1563,Axe Kick,Ability,450,Delivers an attack with a potency of 170 to all nearby enemies.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Pacification</Color><br><Color(52258)>Duration:</Color> 4s<br><Color(52258)>Additional Effect:</Color> Grants <Color(-154)>Greased Lightning III</Color><br><Color(52258)>Duration:</Color> 28s<br><br><Color(52258)>Enhanced Axe Kick:</Color> Shortens recast time to 150 seconds.<br><Color(52258)>Enhanced Axe Kick II:</Color> Increases potency to 200.<br><Color(52258)>Enhanced Axe Kick III:</Color> Increases duration to 6 seconds.
1564,Somersault,Ability,30,Delivers an attack with a potency of 750.<br><Color(52258)>Additional Effect:</Color> Opens a chakra
